country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-14,1.535666921562005,1.6267145362358444,1.4446193068881654,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-15,1.5183356897130298,1.6040706363519535,1.4326007430741061,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-16,1.4768147142492967,1.5580462293679478,1.3955831991306455,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-17,1.4151201876976303,1.4932146524338505,1.33702572296141,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-18,1.3442330630647978,1.4231416561653334,1.2653244699642623,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-19,1.276362492802144,1.3586505778013327,1.1940744078029553,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-20,1.2176647299999437,1.301915248749113,1.1334142112507744,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-21,1.1674586644630616,1.2522084116694305,1.0827089172566926,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-22,1.12287385175206,1.208472917345751,1.037274786158369,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-23,1.0839551029955232,1.1696538921695283,0.9982563138215182,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-24,1.0529379041631135,1.13696969522939,0.968906113096837,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-25,1.0320228182481752,1.114778471125497,0.9492671653708534,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-26,1.0206882108045903,1.1038776673177004,0.9374987542914802,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-27,1.0164631423101032,1.0992562561815433,0.933670028438663,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-28,1.0161011727872336,1.0955909185182728,0.9366114270561942,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-29,1.0168125809211226,1.0917438079333146,0.9418813539089306,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-30,1.0163947253518502,1.0872540060363023,0.945535444667398,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-08-31,1.0132494629656998,1.0807932131998876,0.945705712731512,ITA
Italy,ITA,PCM-DPC,Confirmed cases,Cori_slidingWindow,2020-09-01,1.008615944238957,1.074529152782035,0.9427027356958789,ITA
